,New (Shinjitai),Radical,English meaning,Readings,URLs
1730,朕,月,majestic plural,チン,"['ANd9GcS2uxMJKUrpdsz_H4ovzg4XWrDBDCRl-3m_jDIiXMSZBunl01KKroTiRg1ClA&s', 'ANd9GcTRnfhpSjI0WPcRyLpURPpWHE_NokaaaAR_51A2tHf56N2mgM5nSis-UY_naA&s', 'ANd9GcQc_V-5MAYkF14QUuxTrYZ57JJiFq3MGxGBwbR0T6vC_eTJQTJCNXD7ISwEI_o&s', 'ANd9GcSeGUtxyMJA_oDicHmMLV0aV-g1h6mNW65_uit2rUDPkChwsaxNFtJtfreCn-U&s', 'ANd9GcSuYqcJrqUyuqE3Asfzvrm_26u1JiA6k09JFHnEmyBiMNGGDVoZ6Z-l90TgCw&s', 'ANd9GcQZ0wBv-ixHrlPPtUCjNf68H5VQFnU73n8ndtyiOoxJcTWUXqFJSLsQSWPW1g&s', 'ANd9GcR_1w802Do9emYa1selAa3V-F_kwS1DgsvTL6rUF8P5Spu4E49bmI1yfEt36A&s', 'ANd9GcQtkNxreaIe67G1b653PUyI1LEfJbHTu5qM8hBiuoFH-apaiTcgI8N0cxI1DA&s']"
1731,陳,阜,exhibit,チン,"['ANd9GcRxs8Rz3S56jPE6a_3kkqV_W8ZLjmfKEY64-b7dib5aweagI5_mUuY8UoituFU&s', 'ANd9GcTTtaa-GyU9-51Gcrku5Rc7wBDfw1l1z9d-Nvs71RHNZOqtQEGTEnMJV2wJswE&s', 'ANd9GcT83q96FbYkoLg4aAgGIua9TfhPLhTat3FgbXXcPRMCms6nqUpHd0lvdmUmCg&s', 'ANd9GcQ4A65VlEEViHV17lR6R6-l_9jCrXD6w7pnVMc7YTwSHbBK627Fj20bNaiKsw&s', 'ANd9GcSAYbhGx6fjeSg_xvTudGsxzNjYmLCbQqt_PFevx4vFabGFcHKedJ7fg1AkSQ&s', 'ANd9GcQgoQAI1xy-xYKjBP78mf7qR8hWyf_9INgO0jioB2L1p6N3F9L_EJQddrXtcw&s', 'ANd9GcT3RAL4Jca5hZEDcei0NF3OrU13xdaQExZNEJONOej2S9e0UOgvsY8BaHwCYg&s', 'ANd9GcTDdV8zrhhRhiJ0msdF9Z7zQOKHyXLSCw0hy7cD0k4na5A864tozpz7hPRDe4M&s']"
1732,鎮,金,tranquilize,しず-める,"['ANd9GcQjnN8WpFAln3vPZw5wcelovWP6IW3krC14nupGhKFEHcCrPhGgfXnNl22R-A&s', 'ANd9GcSEGLNrvhzWHHPmI61XBARIqgodGEY1MCfLWJE0F0pZFe22pkcCA-mNsDICWg&s', 'ANd9GcQaPgiR9NfHlIGwo0bqyJtymdCAh1_6TP1rlFA06jbatZ4cJPYCLsGo9B_Kwbc&s', 'ANd9GcSPDNOTE7lQKkmN-KwMfgs7bYo8o_RN8nKbOLxE-1n-lXoixCHPDSMV0e9_4ZM&s', 'ANd9GcSni4n6L3jFoCXCS_l6nod5fnBNhx_c3Y7b040mFtyYZKvnBFptB5z7ReZ4fPA&s', 'ANd9GcQKtxoOePvY0gXMfSjW85IM5tkF2EmP_sJ9DP0zfabiDr03OCi5NtUWNniy0So&s', 'ANd9GcR7oK0CbAXasBqifvOtx1BUSgzAl32zpnTmvQ-86wly97C-NcaYauxl8ozRHC8&s', 'ANd9GcQcALe3T4mt6li-B_NvoWB2huQNMq1inEkb-jG6bbZm_G1ETRKwMRHNIi9qGQ&s']"
1733,椎,木,oak,ツイ,"['ANd9GcS1dbjzQlVLThTmVmAUPLpukS9itVi-UUho0URo7tTU1zCIGlvE88IjOuDoUA&s', 'ANd9GcRKxsHPqsCBT3xMlNC674t7Clhh7HPRl4vTV0BkrJU9V6tFIeTkPfI_niGwl2Q&s', 'ANd9GcQfuWCsHMZJiAJ-frf9CKaanL7s3ledhrTbc5KFq3BCo5n6tHBzKsDatnCxLBM&s', 'ANd9GcRLP64p0IkDW1uZ0IC3PrNSMl3xh2ow6bTrd6GDmDeKPe60Yxx_4raQisY5BFU&s', 'ANd9GcTlSEik8_nP-K7r6-dFIMDYP2nvBE-q0yHt1p6twKQxmi2Xi-45FH1aWg2dJA&s', 'ANd9GcRxsyGaMadNYlEetYHvekvN1w4IIUZ9QvlPdmYR9A2-5d3HFnNRIkbdAvoJRQ&s', 'ANd9GcRyDq5iDZXjLO5pXlghm8_ZMOv1Wz60hbo3z-Bys2lYm0kCwe3aSPmjRGg3XQ&s', 'ANd9GcTlBOyTAj5YYTEFKn5HjVx17R7LQzLFBsBcmNxba7vh7BMM_kf_GSSnvknIaw&s']"
1734,墜,土,crash,ツイ,"['ANd9GcTcOsKy1H1iVytNvh6j3cGKtFBM9yBIsZaQ6XoetwlbspjGh4S9ozyAhAKnsw&s', 'ANd9GcTNrfCY0o_AL41O4E-Js2CFISzgHSG-M6njuDvIqK4PrTOhMD3q1Pp5jryI&s', 'ANd9GcRebbUni3dUzocOpB5dkucUXHJtwF6IG6pAiCfmo6Dhz83iG4mp-SjCtjz5B7E&s', 'ANd9GcTGZYcFsPNnpzC1bXkCuw1Jaste0T_ebfGXNDtCueRBd4nk0jPvhZ9Ut-brTg&s', 'ANd9GcQvqPgF3fRBJGohOekkglkCAYFDIAqM1NNzqA6U-hIL56KITEIWxHYXNT3LZQ&s', 'ANd9GcRkLvCr82_Eca8B6UDANMTH1r5CIcdr_VI8XfLxFgcPZf_zJ0MsDdma1sMqWx0&s', 'ANd9GcTtwFxRwaAa8k5heKFevOrFVWamsKh0lAn7c2-11mtPA975t8Dlf9dTbdDe8Ig&s', 'ANd9GcReBIZCGr01t8BbxEytMsLjlby5EY-tYLRXCVHnik-UQHk37RqKF-qIytxe00k&s']"
1735,塚,土,hillock,つか,"['ANd9GcSJXn8TNRj2Viwyuq9MUBWMLXlz6BMzL89YZMZ23CXzeYfOJTqe_5xKYAeasw&s', 'ANd9GcROsawyv79iAzBKVwVu79Wu1iy8xZ8SXF50EtoSN6CCdiP9TWfU7Nx12Md1GRA&s', 'ANd9GcTtneNcMd4hJNc-6JRcXUY5osMN2i5sAyNRQZfg9tsyFCoHm4dQ7y66oPek0w&s', 'ANd9GcTmPVo0wh4l7cr_yrkLI38UFO-8T3TFpjupcGWeVDydpskmmsuBlMRnXhj43iY&s', 'ANd9GcQo6Xwf-fA2v8xvA7gN0SKFysIvs7W4U0o6tZM33U4FoKHEIwKImk9BFxHfHNw&s', 'ANd9GcRNQGhPo5rBHEuJiwhdLfRe5qgHHa4BVBBOjLRPxezXGBuoxni3x1dAJojjeKM&s', 'ANd9GcTyIFbxMLAV3m_tMOvQcBhCO19VxiME8fiQ3_FBQBEw9GaPkfL8D9EnBbWxgwY&s', 'ANd9GcR1nxVMbUjjXDEfD9IUVkcmw8qQ80JLp6hsdUT9sKcDtKbOF8YfjvvLJnNGSEs&s']"
1736,漬,水,pickling,つ-ける,"['ANd9GcSw2X4Sq-DVGvNZ-MSpETOLhIrjtedpcsGvAGOAq6TA5_dGysUgnz5YseMqfA&s', 'ANd9GcTzsLEmWDFBdBX8YvWdju4g_b3TTrxTLAYe7Y5_JYigkfzDyVXJND-IFA-SCA&s', 'ANd9GcS7HW6-4e30PK-FpIPOwDso0RMtjjc-jyY-QHi5Cb9wGlfKfjRzUDFs623LvA&s', 'ANd9GcShDNZk_h-Gb9hQG_ZugQiEiIONwqArucw70u7k75TVRSlqv8fEj097DDH7Fw&s', 'ANd9GcR7wZzWr0OKoSI_qWmF8-HK4mpq-BvD5s6i_2m_EO-M5suK31waYPTJH90XTw&s', 'ANd9GcRRKbfms_qoW6HbKKFJkp6HiqJmJWQqxoFDHTdLEouBM-t4MJlpRFujNAMZDg&s', 'ANd9GcRp-QGtl_BdTg1a26FdP3x7Q4LzGZJLO2A1xSoD1NBrI7R3etJeHHKNfv2zySc&s', 'ANd9GcQ1gm662i-pvkxXXrTc1NfA3qUBzhObA1q5o8A_KpvU0RtRTdcCN3RE1qrfvQc&s']"
1737,坪,土,two-mat area,つぼ,"['ANd9GcQo_GuolOTtUjFKOgTE-URLcfj7a4nT7TtaRTTarvjwsLv1kqFpRSmWQcTx2NU&s', 'ANd9GcSSUZSEEwWv1YvCzvJlv-CAl6SeelOGfzL8eQfu_peyxVaL2oE9LbS7d1TuhMI&s', 'ANd9GcT3dBmNCQaYOuOvHPDQJldQMUKY7XUJ1J2i3Ia5bRhXtiHUMCqoe_-NNMkmQ4I&s', 'ANd9GcST5a7Q4B0qGKZhZJGtkxRB4o0sGL1eDpB6fqbqxKuNlIqn2g7leAZrBDjq2w&s', 'ANd9GcQOuaH-Wv1ljPNxhc5LfGiEfm9T_Vj4Lbaq9zcvi9cv5B06DVwcn08ApxW9gw&s', 'ANd9GcRcPMhI2ilcgCBPdBXosfClhl0goG4lYluAvGXSi_DlarEJcnIwfnxKK3E2bA&s', 'ANd9GcRma8jXxTH598gDVL-b349_qXxyWcH2gvc2GaBp-apoxnmJgFL5nQk9K32b1s0&s', 'ANd9GcTWd5xkw81xmmtt8pi0B53LCZS4rG4GJyFukcINFri4-i2fOLYnvszL3fgP-2g&s']"
1738,爪,爪,claw,つめ,"['ANd9GcTGF5TOXwNSHOzBNgbMewbA7Zu8BA022Ym3pSDZYQFjaytWuJvHxU2OANI_ErI&s', 'ANd9GcQhwRSysEMm50IuBDQHXHqBvo90y_02St1g2u8XqUGPem_10hslZM8QPraikw8&s', 'ANd9GcRzhh8AWrqE0-ZlgJvVL-ju5ewqWsErw9kO_Wr05A_X7iwSrS6jTn8CKo9PmAY&s', 'ANd9GcTYTPoRyBv9wz8p2WV30SC8AI6dpi7czgHTEbWQqinxRWs8HIq5v38LEHcVDw&s', 'ANd9GcSFp28BDKJisa63BPrBT9lvjN9J0JDeeChCtXBOpc8TC_5BqcRln6K4Y4bxZw&s', 'ANd9GcRqX1x2yeory50KggnxsjZ1Rj4Et0Y4sSI9scLqBG7bTB9kEwqPB_kZlnHeTp0&s', 'ANd9GcSb0mrGCF6NvSI9HBbV1MnmFvKflE4arAXOVCbB2tb51eehcWfiM0tMSEz6oA&s', 'ANd9GcSzm-G4v0s90FAwqOr11NE-IJLLNkZBIQ5W3ZAzGII8uCBKkqMxvEKve5nB0g&s']"
1739,鶴,鳥,crane,つる,"['ANd9GcRtC4Pk5E1Vu2K-XTQyVtLbT5zgr-LiANmTRsQbCGh7W94YwSaHFyhqbViU-mE&s', 'ANd9GcR4nDyL11MS-su5Sx01DXp_ebpJlYDEGdb34Qelu_F3lpgMFx8n5ZVx6Vpu4g&s', 'ANd9GcSWnLzrwqYJBfg18n-30n4uH2wPlBExfxPGwkaGpwV6BWjOpCzJrCiyoQ0g4Lw&s', 'ANd9GcTIQKcuuY5otPdj0n5Aprqib9QG5giM_BWvBy43tOeNBK9pfxXXq-FUfF4wlPA&s', 'ANd9GcSvvJxRbmp8Ivfwj5uLX_JYPPhHGZH_Mk6-JnIpnGaTU116oL4IPSO8CjFoyg&s', 'ANd9GcSJTqNI4KGz4oFPrsRZRATYm0nyHjwntiR2ycKVaKqbDG81tinpfC_xArXly5A&s', 'ANd9GcSRJWlqwdx_pkzAvRAWLAxgasq9ISysfBJecE63CLU4-biZjVgmeex1LyM354w&s', 'ANd9GcSNBUu9TvHmwW7aH5Gxoif3h9cRUNafCLmE9zEBiU896jPcTPPjdDI_hQlN9Q&s']"
1740,呈,口,display,テイ,"['ANd9GcR1OTCWJ4ZHimkgO9h7Foc1eIbBjvDuD4SlTFPznAb9WxObQG6I1gVOi0B59w&s', 'ANd9GcToo1e3b9T86-hfD_c_Tia7zTRzrIkjgSeAWZWMvfpbC1yoL0heVXq3DrOe7tE&s', 'ANd9GcRLLtm_ZFUs8Snct5WEElyTAoVLrLHpXaSmncsjTjjArVye19aD6m_GSdTarvI&s', 'ANd9GcS_JP1AOtEbMAeqZm9XTynbpzWv3NC1hnek8WC3u1QzdUONVeh8fw1lC8p8Aog&s', 'ANd9GcRs9WSXjQJM3bJXqAZGLdNKOsA5X-o2_wD9xBrCrA4ONaxWNhDnZDGHjeCLLA&s', 'ANd9GcRTTeAWLxx31DAC499-AOMuiUHgh8VTWZvDZYXXz6v9U_bQiQ8rhSRdCdDq1Q&s', 'ANd9GcSTy9J4K3DpEMzxjrIHKgGCi14brPx23dhoJnEbJCisCPPjth-AJcjT-B0dow&s', 'ANd9GcT434Yz06BlY7ZSt45OZ8xZgwmhCYnIlAgoQUMGSMFjumphU2UDU6YWShvmGio&s']"
1741,廷,廴,courts,テイ,"['ANd9GcSNbtcH1BPBaeiIW7h5_SucoUWBwQar_QjAcYxHMebbRbR9YTrVvdUxWmQdizM&s', 'ANd9GcT6qJrNaVRLvErQOC2Zw-lkrSvqOqK38TFmVGWzHwIGQEMuTNTOYhKP4zbzAnU&s', 'ANd9GcRoPOiCxp--gqYUsMsMEAZTHDevaW-GC0dH_Lyl64rNpDigG0h2cEBwQo6F6A&s', 'ANd9GcRcoG1kxJnXGs-hUnyZiuI1_1fFe6YUpmizWgX15A-kO_raWX1zcf-gaVMypQ&s', 'ANd9GcTP2L2cAP-foqwaL8a32b-ph4XqlXuB0Eyql_pzQzw8Iex2khe504zLgRxQuQ&s', 'ANd9GcT9OdVkScHD7GSDLBNBctnQWMsy--1megV-ezbmPTIEwYnoyJ0gwb74U0btBQ&s', 'ANd9GcRgrzxRfb55sldB8HrT1w4a-fA0BzG0ixOaKXTCixYI_vL7fWAlukRnuPL7-Q&s', 'ANd9GcQMP6gBmXMG3F6avdv8gwxWsi9H1eYhoK8KoscO2gf6qsyiN8jDUWs3XhNXFmU&s']"
1742,抵,手,resist,テイ,"['ANd9GcQh3sEML-D6-lXl-956MDeAixXEhGPiMvUfAMUWNWbyNxdnYJMsCPkqbxSYvg&s', 'ANd9GcQA4HExmddnkis1viuldjHK3q4SKLxTz5RwaofrLLS00aJvGSCIMKYXxvqlYVw&s', 'ANd9GcQCGe03y1L1zRJoLRIE_CaYC8UaBdhj54DGuYlbW2zQy3SVh8RiswnjHb7Z9g&s', 'ANd9GcQg4EvA159QyD-wsBa5WMT9Q2dL4pqJAQbULVrm4_cps-VAf6LLaRuCBBMy4vM&s', 'ANd9GcQcjh9urszbweuOzMe8NAowXlUWGBU3GDYSXs6wuJoRRz7Hl3dCBEVFi3dk1g&s', 'ANd9GcTQuOZxLhpyurz723siqDSwbrhwdZpmJL4-h29u0atRzzXYT9IhrwZE0zODg7o&s', 'ANd9GcRJugcTNFpiGrxSwrFvEJ2fXQlrbu6_g7lBVYzq2BUFkTgnqOrJSUDijWC3O50&s', 'ANd9GcQIqCAvr43G-XNcuIb4ftBf50jpSc9tOKDVxnGuekt3mZyB4hzIuQVNMvWeQg&s']"
1743,邸,邑,residence,テイ,"['ANd9GcT-dXsEdmDkY0nu13220uu788m6kqs5HPSihD57MDhiORL2r7XQLvZcEx86mw&s', 'ANd9GcRgWTlzWj9Xwq7ipcDzux_8u-GkUS6sRqm6c9AJfcv3fYdVVd3FGRso--MIaW4&s', 'ANd9GcSToTsWkCSCoiq14gO6YY8PpgCcHiEmRjxQ8i2ZJLxdevlVdI7uIobl17Bm6XY&s', 'ANd9GcShN24Ic_FrBTvRVAkZGG6iVSPbhDnnuFR1gaqc4qEe2orJjC9FxIg_1ak4xQ&s', 'ANd9GcS9g8RTR95QYR0F657vCmKLO4NBfhOG3eTCYiloLhJVPupfVV2vRchvtL89e_4&s', 'ANd9GcSG2kOg-yhKkAB6KqZFAmoXo87ARdk23iNGR1WFlebDrtHZqAqetJsqAJTvew&s', 'ANd9GcRFKkQ37WEqb3rbbU4wcLb-6ARh9gHL7exuZt7ubrngHnIcRLjg7COPi0vesA4&s', 'ANd9GcRST9-Qyl66Ytjs18E_NhBxepFkeFoNgSurxvWL0VZumZ_gru5kwxKO02s9xA&s']"
1744,亭,亠,pavilion,テイ,"['ANd9GcSpEB7X3rjjHPOsgJg6kbsZm5tYVhXx0-bU_IS3l8LnD19fjoOwuBv9Btxw1QA&s', 'ANd9GcQcvsdIUBynNmBtM3Aiex3Hpbugnlhm5B-EA2-mfCWLuZss4gwxGGw67Ar6Gg&s', 'ANd9GcSutgR4OMmhztxs8RmUxX7QMqmzhoFm5_ndZnwcYH-dzwnsU95xmRj3xxreAA&s', 'ANd9GcT3ytgAopfXk-51zMyfw7xbDZfmbLhvik5FssWfC1s6bT-9VKtX5yN-i6uUvw&s', 'ANd9GcRbKY6bT_lnKsZMVJ5Yg-fzJNhdo5TtJhNH4CIftKVu-1b2ZZaAhSs5tRkA-dY&s', 'ANd9GcRJxw-I-WwoguZXuuDmT630ibHkWciHvEIx8uNTasaI3JSpbK_I5C6SkKzeLQ&s', 'ANd9GcQ0ffP4l1Chv9Boyf05UEc28nExDiWyrORcb--61JO9IwNGVDH8MjzW_SDQdw&s', 'ANd9GcST5-6nLec_wzLItYWaJYOjybZhiSRegtbF9Z4C3IEgnAfT1dOVepYYetbmIdQ&s']"
1745,貞,貝,upright,テイ,"['ANd9GcSwSbRBvVAdkMcrJDG7olhgNV3x1okufmfRCF6wvLzRTH_B4-z4tkyoomk8nCs&s', 'ANd9GcShpVsc-NdEdzA7O-BBiQ1cJrpnmIUKTJ3mshwvJ9jqEWQHrBqNsgbQMFx9vQ&s', 'ANd9GcRjruAv-SCv_e8eWKyFN3uAAeGPBbMp0hPEYThr5fB1_Qxbshko85i4vyKF2Q&s', 'ANd9GcQ5tlavMcDBgK4suiouBkjqxjXtr4D1FwXAC5msreAHk5XV0znCgR6ynRkLsFc&s', 'ANd9GcQVBSYg8MEI85T5UFd5eD01GXuIuD1eje8Jios2ZUptvmR1zQtPqX7NOExWQRE&s', 'ANd9GcTxdcTV7uLi3U_Ng7QxK7THMRbQyLRzUzgg7bkhobU6sf9VDETVWQo9ft2Ouw&s', 'ANd9GcSgdrcFz9Xpm5N2ImECf7fmf_P2VfYD6jlo90drHAU5UbeT3kwcAObvFy0tJdg&s', 'ANd9GcS6fRQQK21lsOf4y-OImEmJLYtU-ykCzVNunNTlIaI9gk0xUOByOIevL26nla0&s']"
1746,帝,巾,sovereign,テイ,"['ANd9GcRfgx7-0RR_oLVIwAz6MuYN1TW_5opclSEXUO1fVj0y1ti61j_FIMUOve0eRw&s', 'ANd9GcQmLZpGZN43NaG8GH6xlJ-H_bvcqJsI9xXiTfEmN1YnQALDTuV8zZOQEwjWEw&s', 'ANd9GcTBHb2TpfiqDzXFU8ALOpmWHzdXxh-YysE7ZJCqxCTDoS3D4JGim9xonfF80hk&s', 'ANd9GcThLryOPintu454A8TGu8ZXrBQsRmv6J8P2rVkz9Y_zB9GSrW8posnrxFKPbA&s', 'ANd9GcQ664MfoN-DsDpDKo-HkwZCKNzDMcd010DiT9ZoGdUuXCxYyKjXWzPbqUWwkw&s', 'ANd9GcRSZHzvE2O8yaa_L3PMd7KnPjlmCMOdSP-RrdQaoGFvYvj6Luchczrg7lmSGqo&s', 'ANd9GcT_8yc9CmBx_QldvX-txR94MJNEZBTmc8Cis36UU1Bua0xEpqNETpqdamukXQ&s', 'ANd9GcSKfNAIIKClNKzYrbQHN0AJUw8w6tUp5hzf_sTUgIa44dg0U8QtsuhLuq4_EXs&s']"
1747,訂,言,revise,テイ,"['ANd9GcTainEtEyRl5ysU5yL63eUqqRhomulkBT0NtFAP_M4h_YmUy9iUAJ1HqDzHU00&s', 'ANd9GcTsaXCTmZiMryDbgHRpbliMVAK-LB0jFV1poomFriiP7WM3riT6OWWkjbKiOCo&s', 'ANd9GcRcRWvAzI_D_Zo1ojxLo7UxfgY0J-Qo_OT0libbzrEs4FN4t8oP39Lb9nHCog&s', 'ANd9GcTLgoBgriQ695vTB0GAjETmtHsfAWlnz4U4T_vUBWKQKJ2s85iVQztNV8kOMuI&s', 'ANd9GcQjjcvqDOFloIn2Qja8W6ldpe2vQV6KPnxa0jZmVI9JRIg9xYIs-Ix6beRMP9U&s', 'ANd9GcTEH--GXJsS5tKZ7wLYZubFbznaB6KUDuIWi-oaeVq8Iq1NaRJHMBt5whxIPQ&s', 'ANd9GcTCKczsxMPLT8g3XyfMp-LvewyqDKdJH6yAy31mEgwGMTDol89T56IAETrbl10&s', 'ANd9GcSEOJlOXHnLKUz-U9EJxV1gjMsZK80mSZVtn_A4SM3irU7ybgQep25q1wnRcg&s']"
1748,逓,辵,relay,テイ,"['ANd9GcQ9Dhn-dmzavbdR_5BRFipm-i_qQcb8dB3NtfapKg2MP_DjTH-7jc7GkO926Q&s', 'ANd9GcS-m9ZXT1MtStWtNFz-JLCtn0rOvdnOLcvif2kpkSB421NkCIXKTnlj0q6WytQ&s', 'ANd9GcTPTGkgPxnKntTelDcQaoz72wS1koaHbOf24yntJBWtUC9ahwZG_NGiV-Z2d84&s', 'ANd9GcRPsS7vEm4z7BKZ5KGiUZ3fGYVcrXW6CMvgj1RmBgodu243vv_COLCm9fDjPSA&s', 'ANd9GcS6d3GUDiQp7G3gWaCr0qWkg5eVe4Bkpsd6-Ia969Wut1f7xBS6OUSgMJUIjA&s', 'ANd9GcSALHJdyCktyyKleJ1ob02k2p9twsqfnYZoPwBGeMw4edIto8oaa0CJ0wHrTXY&s', 'ANd9GcQAiqBjQU3blga2-WAlv3fw9kxx4PooX-9HyXl3oic1qeMhgJovYZufQHeLO2g&s', 'ANd9GcT2orDY45F3f4gLF5hUrjBCxfFBBkGJ6ApbPKT-MjWanl7OtA-e7DXgq3WpxA&s']"
1749,偵,人,spy,テイ,"['ANd9GcR1yKJ5__s4K2aBKHl3pSTq17oBFoBTapJQ_GW_MlcNpaJ3OHEKd6FRHVcR9g&s', 'ANd9GcRK_fEdJDqFw5KQeToZi_KSlUC0TyCPG4DcGpJPqTRVJVVceQUPrfPIPmJzokA&s', 'ANd9GcTLWX0gYb_1a8OJxMPG5Yh3snn2rqwPCwcQtx-kHf8HT1G7Uafv3jf1uvwbCA&s', 'ANd9GcQw294Agwc5vOeBpPQ-MhGo70YmKE7foBgui0X9jKnBI5BHk49advN9F9AY5Q&s', 'ANd9GcRtjViUol9JaYSh5pZueOi8b6C7LQ7Ip6qrbyeJS0F8Zhfdo3tVBTJ72JslZlk&s', 'ANd9GcQ_jcZdQLFbLEloJs7yCEu6y7IF-UUvkmoAzBN-XpUQOlrs27K6joLmc2fv_eA&s', 'ANd9GcQqlI7MlgNm4_LUaxpKmpLQPkhWMPOsZ3Kza8ubx72Zb38MW0sg69hk0STczA&s', 'ANd9GcQy4ZpkybX1EdIyWzuoSGfbOgQ0_iv2tSz9-Ucg7qLCApCUbnBwmv5wDmvkLjs&s']"
1750,堤,土,dike,つつみ,"['ANd9GcRpQdtr-p1_0IoPQFZVu0ZX0qL8FWR-RSUcfjoYiLg6TcDHIJNXfbUIsjGMng&s', 'ANd9GcQsXE6Jw4tdKrkzi-LcEKrkYQGy7H3kJijStfzjFatqinNFHS4tNDrkoyTFFtU&s', 'ANd9GcTPibqPh8uY0YhoN0-FXayjZTiqiBFPg1No3hqSpRTu0Xdefwg6bwurhqzuhMk&s', 'ANd9GcQVfVsSaLkOjlIGygPw2aPprkGxi0WIb6SFriGlQvozPpuRwNhgEhZnoTM_O0Q&s', 'ANd9GcRouK91KTeD8aBqIvNJTII_rXiJXq2VMYQzf_-iGn34pTq86nFlW7UThYipMtM&s', 'ANd9GcQjb_hNb40MzZ8PNzlsCMcYIsS5yGUB03yQcLMABiYUouKOBxjUmtVtav7ASA&s', 'ANd9GcTwNiJNQc-NdocmYOYxck9nWJi3brlmQM-_BqeEgIVp3yRXiMhlNEmLdvdmeA&s', 'ANd9GcTOW5CnHSZ0k_qRKemfcne7TGqQjc3ljZXPyMgKOpenCwAeNvUK9fHlxrhgoKc&s']"
1751,艇,舟,rowboat,テイ,"['ANd9GcSYtvyxnO7cWeyylgdCE5wrNDO9npbSxFmgQQwu4Gz6fEh3xiVEiD-UFKChViw&s', 'ANd9GcS9tti35fZrQE0nnb0I9DU44LKUg3qCAB-CpSlveNE0ft1S31Aiexrm5fqnteU&s', 'ANd9GcRbZv7ed9bhmw0yqsWAn8BZZ6F4s_JnCqArdjvalwrcd0XxSUS8NgkT3Qub2w&s', 'ANd9GcS39Slp_wnis2edqDXsSZa7lhgA2_DD9M-QoLbySAQCfDgllOEjN4pw7NyLDw&s', 'ANd9GcQgjbDIYR8pdKh4-11gThclKElPFVL9lU1DSu4-7rg5EqztqJ-fEqZ_tlPFtQc&s', 'ANd9GcSxJmT1-SN7tTInY6N6KXDX8sGz2f-_zmcEaaRZTT8zbOGS6gNAXZAxZuCdNyw&s', 'ANd9GcT3tIVUjWt3f0AGhfILrkT9BlWNmd_FRdKAF6a3YYuDVmAwqu4JpzTYI2T6jg&s', 'ANd9GcT5v7Mg0WOXSa7xZOv_miq-rVjAoP07daOPLl5OH9G9ACkcViRJuSV4_nITT5I&s']"
1752,締,糸,tighten,し-まる,"['ANd9GcTxVaLZZmQ_XlyQiOZ-vdd4u0CHaOLzJ_qCsgsF_zZKsoVsKrSNEZYg4ErIHtw&s', 'ANd9GcSm_MnGjQo_y20fj0NtYVUq5VhsJsMGTIexc7BQlmweALhEk3CVjvjQx4MZ&s', 'ANd9GcRZE95R-WUjazoqhDEOIwbvU3XnPgPf0qn3fJfgavu3xhmlf1H-QroMzg9xPA&s', 'ANd9GcQVlCyEKduJbHc9sox6R4pFGFAif8VXYeUe0n9Bm69E6Bmca4ydKmpjW-h_Rw&s', 'ANd9GcRLmAyhgLntoSa8HVDAqY79YIH17Tb9pqlYjmMD7qB5TyCksSjTtyke3szJUw&s', 'ANd9GcSTW3PWxusZLZX4lrVFM_Zy-G9dPz91640vVcqh3_7AVXc5qQ80j-jnLKpRRA&s', 'ANd9GcSSaKO5BDrI7mqQ3kr73IiHnmdKSzZJewPSAHIYqPHn_xxHtbbhq2eWO7HTHsk&s', 'ANd9GcShxKSTntvAWN0a0PrZFlfC-8hmUDwYPfKMPM-LwQpU1hWI6tv0mtD44x50&s']"
1753,諦,言,abandon,あきら-める,"['ANd9GcTmLR4ybgrrCxDADUe6eGVJPT0dC5EBduQrysADmfS01PWu1wUj8e02KtEQeEs&s', 'ANd9GcTIrWAKZvSMmeznhNsYL-HBc4oW5wXaaOA0rVbrdFcYTD2ybkDC0d0-B1erZng&s', 'ANd9GcQ6UZ11LSFbfAngkTt90xW6MAo1dKgupWZZ4-XQB8o63bsaBKn9t8jdLpmV0kg&s', 'ANd9GcR3xnVhp1QlE69KcTNtYjkRwfHlJPQlibL1lz_-TSZ_uK8DKcG-tbmyAXQfOg4&s', 'ANd9GcRRIaxMNcJq60HdVFCY8rqJgiIBX8cn2LdLXj1BnWCcQLwYPjhaUHaZE1sg9ic&s', 'ANd9GcQUc8j6joPgzSn9g5w2RsXESju1OHxg7iy5oQHXfNc7CtjylkGh_LQ3BgueCw&s', 'ANd9GcRVyIeXyX57_pYMFw2Vb6q5WUlX7j1YScK-2bC3AuakCrYTPK0siHhjduFGwWg&s', 'ANd9GcQHjhZxDH8mreZaF11BOQNJo7vHeaL-KmnizjGOlrELAx6jGmlwywtj4xXmWwE&s']"
